Age,Mean
"All ages",37
"2–11 months",10
"1–2 years",18
"3–5 years",23
"6–11 years",31
"12–15 years",38
"16–19 years",44
"20–29 years",44
"30–39 years",43
"40–49 years",39
"50–59 years",37
"60–69 years",30
"70–79 years",28
"80 years and over",26
