Age,"Standard error of the mean"
"7-74 years",0.7
"7-11 years",1.22
"12-17 years",0.87
"18-24 years",0.99
"25-34 years",0.63
"35-44 years",0.97
"45-54 years",1.45
"55-64 years",1.86
"65-74 years",1.46
