Age,"Standard error of the mean"
"7-74 years",0.89
"7-11 years",1.51
"12-17 years",1.09
"18-24 years",0.99
"25-34 years",0.5
"35-44 years",0.83
"45-54 years",1.66
"55-64 years",1.21
"65-74 years",1.01
