| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 1.17           |
| 7-11 years  | 1.98           |
| 12-17 years | 1.41           |
| 18-24 years | 1.38           |
| 25-34 years | 0.7            |
| 35-44 years | 1.06           |
| 45-54 years | 1.88           |
| 55-64 years | 1.6            |
| 65-74 years | 0.94           |
