Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,1399.15,188.77,1138.88,1189.29,1222.07,1268.93,1371.8,1508.31,1594.79,1673.47,1756.97
"12–15 years",2318,1794.1,191.98,1474.44,1546.28,1597.82,1665.83,1799.67,1921.5,1988.26,2038.11,2104.28
"16–19 years",2027,1910.93,181.04,1642.69,1688.5,1729.59,1794.06,1902.08,2015.61,2083.19,2122.84,2202.69
"20–29 years",1378,1939.51,168.01,1666.17,1728.72,1764.17,1822.55,1934.27,2049.31,2112.01,2153.98,2223.64
"30–39 years",1372,1949.93,165.25,1697.54,1749.25,1784.62,1837.12,1934.88,2056.36,2111.22,2164.17,2247.41
"40–49 years",1570,1955.81,166.15,1690.92,1744.32,1783.81,1840.68,1949.81,2052.94,2127.44,2169.05,2227.48
"50–59 years",1200,1924.12,166.41,1660.36,1713.55,1750.39,1810.63,1927,2025.79,2088.54,2133.64,2192.27
"60–69 years",1419,1897.05,177.87,1610.87,1669.05,1719.43,1774.38,1900.83,2014.14,2070.98,2113.83,2177.12
"70–79 years",750,1823.07,177.64,1540.15,1598.58,1651.69,1713.19,1829.35,1939.84,1999.47,2046.33,2102.13
"80 years and over",594,1711.52,184.73,1398.8,1459.84,1524.61,1589.75,1719.63,1832.8,1886.33,1942.48,2009.52
"20 years and over (age-adjusted)",8283,1918.24,,,,,,,,,,
