Age,"life expectancy"
0,74.1
1,73.7
5,69.8
10,64.9
15,59.9
20,55.2
25,50.6
30,45.9
35,41.3
40,36.7
45,32.2
50,27.9
55,23.8
60,19.9
65,16.3
70,13
75,10.1
80,7.6
85,5.6
90,4.1
95,3.1
100,2.4
