Age,"life expectancy"
0,76.9
1,76.4
5,72.5
10,67.6
15,62.6
20,57.8
25,53.1
30,48.3
35,43.6
40,38.9
45,34.4
50,30
55,25.7
60,21.6
65,17.9
70,14.4
75,11.3
80,8.6
85,6.3
90,4.7
95,3.5
100,2.6
