Age,"life expectancy"
0,79.5
1,79
5,75.1
10,70.1
15,65.2
20,60.3
25,55.4
30,50.6
35,45.8
40,41
45,36.3
50,31.8
55,27.4
60,23.1
65,19.2
70,15.5
75,12.1
80,9.1
85,6.7
90,4.8
95,3.5
100,2.7
