Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.9,1,1,1.1,1.3,1.5,1.7,1.8,1.9
"12–15 years",1.3,1.5,1.6,1.9,2.4,2.9,3.2,3.4,3.7
"16–19 years",2.4,2.6,2.7,2.9,3.3,3.8,4,4.2,4.5
"20–39 years",2.7,2.9,3,3.2,3.7,4.2,4.5,4.8,5.2
"40–59 years",2.7,2.9,3.1,3.3,3.8,4.2,4.5,4.7,5
"60–79 years",2.4,2.6,2.7,2.9,3.3,3.8,4.1,4.3,4.5
"80 years and older",2,2.2,2.3,2.4,2.7,3,3.2,3.4,3.6
"20 years and older (crude)",2.6,2.8,2.9,3.2,3.6,4.1,4.5,4.7,5
