Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,54,1,41,10696,52,1.9,39,15771,55,1.1,42
"Under 6 years",6871,35,0.6,30,3145,34,1.1,29,3128,35,0.8,31
"6–11 years",3134,55,1.2,47,1446,56,2.4,49,1439,55,1.5,47
"12–19 years",3121,68,1.8,52,1345,66,3.3,52,1470,70,2.6,53
"20–59 years",10940,57,1.4,43,3329,56,3.4,40,6710,58,1.3,44
"60 years and over",5039,43,0.9,33,1431,37,1.3,29,3024,44,1.1,34
