"Cause of death (both sexes, 5–9 years)",Number,"Percent of total deaths","Death rate"
"All causes",2333,100,11.6
"Accidents (unintentional injuries)",714,30.6,3.5
"Malignant neoplasms",371,15.9,1.8
"Congenital malformations, deformations and chromosomal abnormalities",192,8.2,1
"Assault (homicide)",155,6.6,0.8
"Diseases of heart",91,3.9,0.5
"Chronic lower respiratory diseases",69,3,0.3
"Influenza and pneumonia",52,2.2,0.3
"Cerebrovascular diseases",37,1.6,0.2
Septicemia,36,1.5,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",31,1.3,0.2
"All other causes",585,25.1,2.9
