"Cause of death (females, 5–9 years)","Percent"
"All causes",100
"Accidents (unintentional injuries)",28.5
"Malignant neoplasms",17.1
"Congenital malformations, deformations and chromosomal abnormalities",8.2
"Assault (homicide)",5.6
"Diseases of heart",4.6
"Influenza and pneumonia",2.7
"Chronic lower respiratory diseases",2.2
Septicemia,2.1
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",1.8
"Cerebrovascular diseases",1.6
"All other causes",25.6
