| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 1.23           |
| 7-11 years  | 1.21           |
| 12-17 years | 1.67           |
| 18-24 years | 1.35           |
| 25-34 years | 1.8            |
| 35-44 years | 2.2            |
| 45-54 years | 3.36           |
| 55-64 years | 3.63           |
| 65-74 years | 1.42           |
