| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.82           |
| 7-11 years  | 1.48           |
| 12-17 years | 1.48           |
| 18-24 years | 0.94           |
| 25-34 years | 1.09           |
| 35-44 years | 1.89           |
| 45-54 years | 3.46           |
| 55-64 years | 2.25           |
| 65-74 years | 1.14           |
