Age,"Standard error of the mean"
"7-74 years",0.74
"7-11 years",1.12
"12-17 years",1.29
"18-24 years",0.84
"25-34 years",1
"35-44 years",1.33
"45-54 years",2.5
"55-64 years",1.75
"65-74 years",0.99
