"Cause of death","Rate (per 100000)"
"All causes",14768.6
"Diseases of heart",5740.1
"Cerebrovascular diseases",1637.4
"Malignant neoplasms",1461.3
"Alzheimer’s disease.",729.5
"Influenza and pneumonia",686.2
"Chronic lower respiratory diseases",520.2
"Diabetes mellitus",310.5
"Accidents (unintentional injuries)",239.2
"Nephritis, nephrotic syndrome and nephrosis",236.7
Septicemia,213.4
"All other causes",2994.2
