"Cause of death","Rate (per 100000)"
"All causes",15321.5
"Diseases of heart",5848.7
"Malignant neoplasms",1795.6
"Cerebrovascular diseases",1568.4
"Influenza and pneumonia",734.4
"Alzheimer’s disease",659
"Chronic lower respiratory diseases",640.1
"Diabetes mellitus",315.6
"Nephritis, nephrotic syndrome and nephrosis",274.2
"Accidents (unintentional injuries)",269.9
Septicemia,212.9
"All other causes",3002.8
