Age,"Standard deviation"
"7-74 years",13.5
"7-11 years",9.4
"12-17 years",9.7
"18-24 years",9.6
"25-34 years",10.8
"35-44 years",11.9
"45-54 years",12.4
"55-64 years",12.1
"65-74 years",12.3
