| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.8               |
| 7-11 years  | 9.3                |
| 12-17 years | 9.6                |
| 18-24 years | 10                 |
| 25-34 years | 11                 |
| 35-44 years | 12.6               |
| 45-54 years | 13.5               |
| 55-64 years | 13                 |
| 65-74 years | 12.5               |
