| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 14.1               |
| 7-11 years  | 9.2                |
| 12-17 years | 9.5                |
| 18-24 years | 9.4                |
| 25-34 years | 10.2               |
| 35-44 years | 12.8               |
| 45-54 years | 14.2               |
| 55-64 years | 13.5               |
| 65-74 years | 12.6               |
