| Age   | Percent of adult waist |
| ----- | ---------------------- |
| 2     | 55                     |
| 3     | 57                     |
| 4     | 59                     |
| 5     | 61                     |
| 6     | 62                     |
| 7     | 66                     |
| 8     | 68                     |
| 9     | 71                     |
| 10    | 74                     |
| 11    | 77                     |
| 12    | 79                     |
| 13    | 84                     |
| 14    | 87                     |
| 15    | 84                     |
| 16    | 87                     |
| 17    | 89                     |
| 18    | 87                     |
| 19    | 89                     |
| 20+   | 100                    |
| 20–29 | 91                     |
| 30–39 | 98                     |
| 40–49 | 102                    |
| 50–59 | 107                    |
| 60–69 | 107                    |
| 70–79 | 106                    |
| 80+   | 104                    |
