Age,"Percent of adult waist"
"2 years",51
"3 years",53
"4 years",54
"5 years",56
"6 years",59
"7 years",61
"8 years",64
"9 years",67
"10 years",69
"11 years",73
"12 years",76
"13 years",77
"14 years",82
"15 years",83
"16 years",83
"17 years",86
"18 years",85
"19 years",87
"20 years and over",100
"20–29 years",93
"30–39 years",99
"40–49 years",103
"50–59 years",106
"60–69 years",107
"70–79 years",106
"80 years and over",103
