"Birthweight (grams)",Percent
"under 2500",12.32
"under 1500",2.8
"Less than 500",0.34
500–999,1.29
1000–1499,1.18
1500–1999,2.63
2000–2499,6.89
2500–2999,26.83
3000–3499,42.07
3500–3999,16.19
4000–4499,2.24
4500–4999,0.34
"5000 or more",*
