"Birthweight (grams)",percent
"under 2500",8.84
"under 1500",1.5
"Less than 500",0.14
500–999,0.53
1000–1499,0.83
1500–1999,1.84
2000–2499,5.5
2500–2999,18
3000–3499,37.49
3500–3999,26.98
4000–4499,7.45
4500–4999,1.11
"5000 or more",0.14
