"Birthweight (grams)",percent
"under 2500",7.75
"under 1500",1.28
"Less than 500",0.13
500–999,0.46
1000–1499,0.69
1500–1999,1.54
2000–2499,4.94
2500–2999,17.63
3000–3499,38.32
3500–3999,27.76
4000–4499,7.41
4500–4999,1.02
"5000 or more",0.11
