"Birthweight (grams)",percent
"under 2500",9.98
"under 1500",1.67
"Less than 500",0.17
500–999,0.65
1000–1499,0.85
1500–1999,1.84
2000–2499,6.47
2500–2999,24.12
3000–3499,41.53
3500–3999,20.37
4000–4499,3.63
4500–4999,0.35
"5000 or more",0.03
