Age,"Standard error"
"8–11 years",40.99
"12–15 years",60.72
"16–19 years",46.83
"20–29 years",47.25
"30–39 years",46.35
"40–49 years",41.47
"50–59 years",42.68
"60–69 years",43.11
"70–79 years",45.35
"80 years and over",42.38
