Age,Mean
"8–11 years",0.527
"12–15 years",0.633
"16–19 years",0.75
"20–29 years",0.752
"30–39 years",0.73
"40–49 years",0.721
"50–59 years",0.708
"60–69 years",0.707
"70–79 years",0.679
"80 years and over",0.663
"20 years and over (age-adjusted)",0.719
