Age,Mean
"8–11 years",0.515
"12–15 years",0.619
"16–19 years",0.666
"20–29 years",0.665
"30–39 years",0.664
"40–49 years",0.653
"50–59 years",0.631
"60–69 years",0.606
"70–79 years",0.579
"80 years and over",0.549
"20 years and over (age-adjusted)",0.638
