Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",29105,0.18,0.007,10696,0.12,0.008,15771,0.19,0.008
"Under 6 years",6871,0.11,0.008,3145,0.07,0.007,3128,0.13,0.012
"6–11 years",3134,0.13,0.011,1446,0.1,0.011,1439,0.14,0.015
"12–19 years",3121,0.17,0.012,1345,0.14,0.024,1470,0.17,0.013
"20–59 years",10940,0.2,0.011,3329,0.13,0.016,6710,0.21,0.013
"60 years and over",5039,0.17,0.014,1431,0.11,0.025,3024,0.18,0.017
