Age,Total,"Under 12 years","12 years","13 years or more","Not stated"
"25-64 years",191237,39691,85210,60747,5589
"25-34 years",11775,2469,4895,4052,359
"35-44 years",30638,5870,13444,10432,892
"45-54 years",56576,9814,24246,20914,1602
"55-64 years",92248,21538,42625,25349,2736

