| Systolic | Percent |
| -------- | ------- |
| 0-100    | 0.4     |
| 100-109  | 4.3     |
| 110-119  | 12.4    |
| 120-129  | 23.7    |
| 130-139  | 19.9    |
| 140-149  | 18.3    |
| 150-159  | 7.1     |
| 160-169  | 5.1     |
| 170-179  | 4.5     |
| 180-189  | 1.8     |
| 190-199  | 2       |
| 200+     | 0.5     |
