| Systolic | Percent |
| -------- | ------- |
| 0-90     | 0.5     |
| 90-99    | 2       |
| 100-109  | 6.9     |
| 110-119  | 18      |
| 120-129  | 20.9    |
| 130-139  | 17.4    |
| 140-149  | 13.4    |
| 150-159  | 6.9     |
| 160-169  | 6.5     |
| 170-179  | 2.7     |
| 180-189  | 1       |
| 190-199  | 1.2     |
| 200-209  | 1.5     |
| 210-219  | 0.5     |
| 220+     | 0.6     |
