| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.8            |
| 7-11 years  | 1.65           |
| 12-17 years | 0.97           |
| 18-24 years | 0.89           |
| 25-34 years | 0.77           |
| 35-44 years | 0.66           |
| 45-54 years | 1.15           |
| 55-64 years | 0.97           |
| 65-74 years | 1.29           |
