Age,"Standard error"
"7-74 years",0.97
"7-11 years",2.21
"12-17 years",1.36
"18-24 years",0.87
"25-34 years",0.59
"35-44 years",0.7
"45-54 years",1.34
"55-64 years",0.85
"65-74 years",1.11
