Age,"Standard error"
"7-74 years",0.79
"7-11 years",1.19
"12-17 years",0.8
"18-24 years",1.32
"25-34 years",1.39
"35-44 years",0.88
"45-54 years",1.42
"55-64 years",1.74
"65-74 years",1.66
