Age,"Standard error of the mean"
"7-74 years",0.62
"7-11 years",1.19
"12-17 years",1.39
"18-24 years",0.84
"25-34 years",0.57
"35-44 years",1.32
"45-54 years",0.98
"55-64 years",1.01
"65-74 years",0.83
