Age,"Standard error of the mean"
"7-74 years",0.69
"7-11 years",1.66
"12-17 years",0.49
"18-24 years",0.94
"25-34 years",0.85
"35-44 years",1.34
"45-54 years",1.94
"55-64 years",0.95
"65-74 years",0.91
