Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,1503,14,1378,4929,1420,22.4,1271,7770,1529,15.8,1410
"Under 6 years",3410,997,11.8,955,1564,998,21.3,956,1548,999,12.7,955
"6–11 years",1581,1336,32.9,1278,713,1356,51.6,1293,746,1340,35,1282
"12–19 years",1462,1659,33.8,1499,634,1494,49.5,1328,674,1724,43.8,1592
"20–59 years",5019,1633,19.9,1513,1390,1656,43.7,1483,3226,1634,19.6,1520
"60 years and over",2451,1297,16.4,1204,628,1062,24.7,973,1576,1335,19.8,1238
