Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",29103,2.1,0.11,10696,1.4,0.11,15770,2.4,0.14
"Under 6 years",6871,–,–,3145,–,–,3128,–,–
"6–11 years",3134,–,–,1446,–,–,1439,–,–
"12–19 years",3119,0.6,0.13,1345,0.5,0.14,1469,0.7,0.15
"20–59 years",10940,3.2,0.17,3329,2.7,0.22,6710,3.3,0.21
"60 years and over",5039,2,0.25,1431,0.9,0.23,3024,2.4,0.31
