Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,93,1,85,4929,89,1.6,77,7770,95,1.1,87
"Under 6 years",3410,52,0.6,49,1564,54,0.9,51,1548,51,0.8,48
"6–11 years",1581,75,1.9,71,713,78,2.5,71,746,74,2.1,71
"12–19 years",1462,101,2.1,90,634,92,2.5,84,674,105,2.9,96
"20–59 years",5019,105,1.5,96,1390,108,3,96,3226,105,1.5,97
"60 years and over",2451,79,1,74,628,69,2.1,64,1576,82,1.3,76
