"Cause of death (males, 75–84 years)","Death rate (per 100000)"
"All causes",5074.1
"Diseases of heart",1261.2
"Malignant neoplasms",1232.4
"Chronic lower respiratory diseases",345.5
"Cerebrovascular diseases",266.9
"Alzheimer disease",181.4
"Diabetes mellitus",173
"Accidents (unintentional injuries)",147.7
"Parkinson disease",137.6
"Nephritis, nephrotic syndrome and nephrosis",108.9
"Influenza and pneumonia",94
"All other causes",1125.4
