| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.06           |
| 2–11 months       | 0.17           |
| 1–2 years         | 0.06           |
| 3–5 years         | 0.15           |
| 6–11 years        | 0.15           |
| 12–15 years       | 0.25           |
| 16–19 years       | 0.19           |
| 20–29 years       | 0.13           |
| 30–39 years       | 0.11           |
| 40–49 years       | 0.21           |
| 50–59 years       | 0.14           |
| 60–69 years       | 0.11           |
| 70–79 years       | 0.09           |
| 80 years and over | 0.13           |
