| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.07           |
| 2–11 months       | 0.13           |
| 1–2 years         | 0.06           |
| 3–5 years         | 0.08           |
| 6–11 years        | 0.2            |
| 12–15 years       | 0.24           |
| 16–19 years       | 0.24           |
| 20–29 years       | 0.15           |
| 30–39 years       | 0.13           |
| 40–49 years       | 0.13           |
| 50–59 years       | 0.22           |
| 60–69 years       | 0.1            |
| 70–79 years       | 0.12           |
| 80 years and over | 0.13           |
