| Age               | Median |
| ----------------- | ------ |
| All ages          | 8.3    |
| 2–11 months       | 11.9   |
| 1–2 years         | 4.4    |
| 3–5 years         | 5.4    |
| 6–11 years        | 6.6    |
| 12–15 years       | 8.1    |
| 16–19 years       | 9.7    |
| 20–29 years       | 9.2    |
| 30–39 years       | 10.2   |
| 40–49 years       | 9.1    |
| 50–59 years       | 8.8    |
| 60–69 years       | 7.5    |
| 70–79 years       | 7      |
| 80 years and over | 6.5    |
