Age,"Standard error"
"All ages",0.5
"2–11 months",0.6
"1–2 years",0.7
"3–5 years",1.2
"6–11 years",1.2
"12–15 years",2
"16–19 years",2
"20–29 years",1.3
"30–39 years",1.4
"40–49 years",1.4
"50–59 years",1.4
"60–69 years",1.3
"70–79 years",1.1
"80 years and over",1.3
