Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29103,15.1,0.07,14.5,10696,14.9,0.12,14.5,15770,15.1,0.08,14.5
"Under 6 years",6871,14.1,0.09,13.8,3145,14.3,0.15,14,3128,13.9,0.14,13.6
"6–11 years",3134,14.4,0.14,14.1,1446,14.6,0.16,14.2,1439,14.3,0.18,13.9
"12–19 years",3119,14,0.17,13.7,1345,14,0.21,13.7,1469,14,0.19,13.7
"20–59 years",10940,15.2,0.1,14.6,3329,15.1,0.19,14.6,6710,15.2,0.11,14.6
"60 years and over",5039,16.1,0.11,15.5,1431,16.4,0.27,15.7,3024,16.1,0.11,15.5
