Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",15181,1.6,0.12,5767,0.8,0.11,8001,1.9,0.16
"Under 6 years",3461,–,–,1581,–,–,1580,–,–
"6–11 years",1553,–,–,733,–,–,693,–,–
"12–19 years",1658,0.3,0.1,711,0.2,0.07,796,0.4,0.15
"20–59 years",5921,2.4,0.21,1939,1.6,0.26,3484,2.7,0.27
"60 years and over",2588,1.3,0.2,803,0.4,0.1,1448,1.7,0.26
