Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15181,7,0.07,6.4,5767,6.7,0.09,6,8001,7.2,0.09,6.5
"Under 6 years",3461,6.2,0.07,5.6,1581,6.4,0.12,5.7,1580,6,0.08,5.5
"6–11 years",1553,6.3,0.15,5.7,733,5.8,0.19,5.2,693,6.6,0.22,5.9
"12–19 years",1658,7.1,0.18,6.2,711,6.9,0.24,6.2,796,7.2,0.24,6.3
"20–59 years",5921,7.3,0.09,6.7,1939,7.1,0.12,6.4,3484,7.4,0.11,6.8
"60 years and over",2588,6.8,0.09,6.1,803,6.3,0.16,5.6,1448,7,0.13,6.3
