Age,Rate
"15 years and over",778.1
"15–24 years",57.1
"25–34 years",61.5
"35–44 years",118.9
"45–54 years",295
"55–64 years",785
"65–74 years",2014.3
"75 years and older",5876.2
"Age-adjusted rate",964.3
