Age,Rate
"15 years and over",491.4
"15–24 years",33.4
"25–34 years",43.1
"35–44 years",95.1
"45–54 years",232.3
"55–64 years",588.9
"65–74 years",1424.8
"75 years and older",3877.1
"Age-adjusted rate",668.2
