Age,"Standard error of the mean"
"7-74 years",0.99
"7-11 years",2.3
"12-17 years",1.01
"18-24 years",0.89
"25-34 years",0.58
"35-44 years",1.35
"45-54 years",1.87
"55-64 years",1.99
"65-74 years",1.51
