| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.94           |
| 7-11 years  | 1.75           |
| 12-17 years | 1.21           |
| 18-24 years | 0.76           |
| 25-34 years | 0.7            |
| 35-44 years | 1.09           |
| 45-54 years | 1.98           |
| 55-64 years | 1.58           |
| 65-74 years | 1              |
