| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 8–11  | 26.2 | 28.4 | 30.2 | 32.7 | 37.9 | 42.8 | 45.1 | 46.8 | 48.2 |
| 12–15 | 26.4 | 28.8 | 30.7 | 33.3 | 37.6 | 42.2 | 44.4 | 46.4 | 48.7 |
| 16–19 | 29.3 | 31.9 | 33.6 | 35.9 | 40.1 | 44.2 | 46.8 | 48.2 | 50.5 |
| 20–39 | 31.4 | 33.5 | 35.3 | 37.7 | 42.3 | 46.7 | 49.1 | 50.3 | 52.3 |
| 40–59 | 32.4 | 35.2 | 37.4 | 39.9 | 44.4 | 48.4 | 50.7 | 51.9 | 53.8 |
| 60–79 | 34.2 | 36.8 | 38.5 | 41.3 | 45.8 | 49.9 | 52.1 | 53.5 | 55.2 |
| 80+   | 31.5 | 35   | 37.4 | 40.3 | 45.4 | 49.8 | 51.6 | 52.8 | 54.8 |
| 20+   | 32.1 | 34.7 | 36.7 | 39.3 | 43.9 | 48.3 | 50.6 | 51.9 | 53.8 |
