Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",4,4.5,4.9,5.4,6.9,8.9,10,10.7,12.3
"12–15 years",6.9,7.6,8.1,8.8,10.2,12,13.6,14.6,16.4
"16–19 years",8,8.4,9,9.7,11.2,13.3,15,16.3,18.6
"20–39 years",8.5,9.2,9.7,10.4,12.3,14.8,16.5,18,20.3
"40–59 years",8.5,9.3,9.7,10.6,12.6,15.2,16.9,18.3,20.3
"60–79 years",8,9,9.4,10.1,11.9,14.1,15.6,16.7,18.6
"80 years and older",7.4,7.9,8.3,8.9,10.4,12.1,13.2,14.2,15.5
"20 years and older (crude)",8.3,9.1,9.6,10.4,12.2,14.6,16.3,17.7,19.9
