Age,"Standard error"
"All ages",0.04
"2–11 months",0.05
"1–2 years",0.07
"3–5 years",0.09
"6–11 years",0.13
"12–15 years",0.13
"16–19 years",0.17
"20–29 years",0.09
"30–39 years",0.11
"40–49 years",0.12
"50–59 years",0.09
"60–69 years",0.1
"70–79 years",0.08
"80 years and over",0.13
