"Cause of death (males, 55–64 years)","Death rate (per 100000)"
"All causes",1111.9
"Malignant neoplasms",294.6
"Diseases of heart",272.7
"Accidents (unintentional injuries)",86.1
"Diabetes mellitus",47.5
"Chronic liver disease and cirrhosis",46.9
"Chronic lower respiratory diseases",45.9
"Cerebrovascular diseases",36.7
"Intentional self-harm (suicide)",30.7
"Nephritis, nephrotic syndrome and nephrosis",17.1
Septicemia,15
"All other causes",218.6
