"Cause of death (females, 65–74 years)",Number
"All causes",235312
"Malignant neoplasms",76440
"Diseases of heart",43451
"Chronic lower respiratory diseases",18995
"Cerebrovascular diseases",11074
"Diabetes mellitus",9193
"Accidents (unintentional injuries)",5784
"Nephritis, nephrotic syndrome and nephrosis",4917
"Alzheimer disease",4660
Septicemia,4270
"Influenza and pneumonia",3835
"All other causes",52693
