Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,25.87,8.38,15.32,17.26,18.3,19.99,23.98,30.06,35.06,37.8,41.7
"12–15 years",2318,46.07,11.76,27.98,31.14,34.07,37.9,45.47,52.96,58.09,61.36,67.67
"16–19 years",2027,53.1,11.21,36.15,39.26,41.86,45.52,52.21,59.36,64.08,68.27,73.09
"20–29 years",1378,54.82,11.11,37.26,41.21,43.92,47.23,54.1,62.02,66.4,69.1,73.45
"30–39 years",1372,55.1,11.74,37.38,40.85,43.2,46.94,54.44,62.13,66.98,70.39,75.5
"40–49 years",1570,55.31,12.82,36.5,38.95,42,46.37,54.43,63.16,68.22,71.82,78.4
"50–59 years",1200,51.51,12.83,32.45,35.45,37.93,42.33,50.78,59.86,64.81,68.93,73.14
"60–69 years",1419,48.05,14.08,28.16,31.08,33.61,37.79,46.91,56.61,62.2,66.46,71.57
"70–79 years",750,45.96,13.73,26.63,30.16,32.87,36.27,44.27,54.17,59.05,62.87,69.9
"80 years and over",594,42.47,13.51,22.56,26.01,28.92,32.7,41.23,50.72,55.87,60.83,65.55
"20 years and over (age-adjusted)",8283,52.47,,,,,,,,,,
