| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 11.76          |
| 12–15 | 20.35          |
| 16–19 | 21.21          |
| 20–29 | 26.86          |
| 30–39 | 26.73          |
| 40–49 | 26.86          |
| 50–59 | 25.52          |
| 60–69 | 25.23          |
| 70–79 | 23.07          |
| 80+   | 20.74          |
