| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 0.077          |
| 12–15 | 0.12           |
| 16–19 | 0.108          |
| 20–29 | 0.107          |
| 30–39 | 0.107          |
| 40–49 | 0.1            |
| 50–59 | 0.107          |
| 60–69 | 0.109          |
| 70–79 | 0.108          |
| 80+   | 0.112          |
