Age,"Standard error"
"8–11 years",0.094
"12–15 years",0.087
"16–19 years",0.086
"20–29 years",0.079
"30–39 years",0.081
"40–49 years",0.085
"50–59 years",0.087
"60–69 years",0.091
"70–79 years",0.088
"80 years and over",0.092
