Age,"Standard error of the mean"
"7-74 years",0.63
"7-11 years",0.99
"12-17 years",0.79
"18-24 years",0.59
"25-34 years",0.85
"35-44 years",0.85
"45-54 years",1.34
"55-64 years",1.25
"65-74 years",1.24
