| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.6            |
| 7-11 years  | 0.94           |
| 12-17 years | 0.84           |
| 18-24 years | 1.16           |
| 25-34 years | 1.1            |
| 35-44 years | 1.56           |
| 45-54 years | 1.91           |
| 55-64 years | 1.46           |
| 65-74 years | 1.5            |
